WL          E.P.     loggf    ele      num    EWsun
5587.58     4.14     -1.697   FeI     26.0     35.5 
5594.66     4.55     -0.914   FeI     26.0     58.3 
5618.64     4.21     -1.346   FeI     26.0     50.5 
5619.60     4.39     -1.479   FeI     26.0     35.0 
5633.95     4.99     -0.449   FeI     26.0     66.5 
5635.83     4.26     -1.597   FeI     26.0     35.1 
5636.70     3.64     -2.542   FeI     26.0     19.8 
5638.27     4.22     -0.871   FeI     26.0     77.6 
5641.44     4.26     -1.026   FeI     26.0     66.2 
5649.99     5.10     -0.835   FeI     26.0     36.2 
5651.47     4.47     -1.801   FeI     26.0     18.4 
5652.32     4.26     -1.790   FeI     26.0     26.3 
5653.87     4.39     -1.446   FeI     26.0     36.7 
5661.35     4.28     -1.865   FeI     26.0     22.5 
5662.52     4.18     -0.671   FeI     26.0     93.4 
5667.52     4.18     -1.340   FeI     26.0     52.4 
5679.03     4.65     -0.812   FeI     26.0     59.5 
5680.24     4.19     -2.364   FeI     26.0     10.3 
5701.55     2.56     -2.206   FeI     26.0     84.5 
5715.09     4.28     -0.906   FeI     26.0     72.5 
5720.90     4.55     -1.840   FeI     26.0     14.9 
5731.77     4.26     -1.174   FeI     26.0     57.8 
5738.24     4.22     -2.198   FeI     26.0     13.6 
5741.85     4.26     -1.664   FeI     26.0     32.0 
5752.04     4.55     -0.969   FeI     26.0     55.2 
5775.08     4.22     -1.176   FeI     26.0     59.8 
5778.46     4.15     -2.004   FeI     26.0     22.0 
5793.92     4.22     -1.662   FeI     26.0     34.0 
5806.73     4.61     -0.929   FeI     26.0     54.6 
5809.22     3.88     -1.656   FeI     26.0     50.4 
5811.92     4.14     -2.368   FeI     26.0     11.4 
5814.81     4.28     -1.857   FeI     26.0     23.0 
5815.22     4.15     -2.399   FeI     26.0     10.5 
5827.88     3.28     -3.178   FeI     26.0     11.7 
5852.22     4.55     -1.233   FeI     26.0     40.5 
5853.15     1.49     -5.153   FeI     26.0      7.5 
5855.08     4.61     -1.570   FeI     26.0     22.3 
5856.09     4.29     -1.612   FeI     26.0     33.4 
5862.36     4.55     -0.472   FeI     26.0     87.6 
5902.48     4.59     -1.836   FeI     26.0     14.2 
5905.68     4.65     -0.829   FeI     26.0     58.7 
5916.26     2.45     -2.949   FeI     26.0     54.2 
5927.79     4.65     -1.101   FeI     26.0     42.9 
5929.68     4.55     -1.253   FeI     26.0     39.5 
5930.19     4.65     -0.394   FeI     26.0     87.9 
5934.66     3.93     -1.145   FeI     26.0     76.4 
5956.70     0.86     -4.544   FeI     26.0     53.7 
5983.69     4.55     -0.775   FeI     26.0     67.2 
5984.82     4.73     -0.401   FeI     26.0     83.0 
5987.07     4.79     -0.536   FeI     26.0     70.2 
6005.55     2.59     -3.506   FeI     26.0     22.4 
6024.06     4.55     -0.196   FeI     26.0    110.5 
6027.06     4.08     -1.226   FeI     26.0     64.4 
6034.04     4.31     -2.341   FeI     26.0      8.8 
6035.34     4.29     -2.507   FeI     26.0      6.5 
6054.08     4.37     -2.268   FeI     26.0      9.1 
6056.01     4.73     -0.548   FeI     26.0     72.6 
6065.49     2.61     -1.668   FeI     26.0    117.9 
6078.49     4.79     -0.426   FeI     26.0     77.9 
6079.01     4.65     -1.052   FeI     26.0     45.8 
6082.72     2.22     -3.591   FeI     26.0     34.5 
6089.57     4.58     -1.313   FeI     26.0     35.3 
6094.38     4.65     -1.604   FeI     26.0     19.9 
6096.67     3.98     -1.811   FeI     26.0     38.2 
6098.25     4.56     -1.790   FeI     26.0     16.5 
6120.25     0.92     -5.909   FeI     26.0      5.2 
6127.91     4.14     -1.458   FeI     26.0     48.9 
6151.62     2.18     -3.323   FeI     26.0     49.7 
6157.73     4.08     -1.282   FeI     26.0     61.5 
6159.38     4.61     -1.913   FeI     26.0     11.9 
6165.36     4.14     -1.541   FeI     26.0     44.5 
6173.34     2.22     -2.906   FeI     26.0     68.0 
6180.21     2.73     -2.661   FeI     26.0     55.8 
6187.99     3.94     -1.658   FeI     26.0     48.2 
6200.32     2.61     -2.430   FeI     26.0     73.0 
6213.44     2.22     -2.611   FeI     26.0     82.6 
6219.29     2.20     -2.496   FeI     26.0     89.6 
6220.79     3.88     -2.360   FeI     26.0     19.0 
6226.74     3.88     -2.102   FeI     26.0     29.2 
6229.24     2.85     -2.895   FeI     26.0     38.6 
6232.65     3.65     -1.289   FeI     26.0     83.3 
6240.65     2.22     -3.317   FeI     26.0     48.3 
6265.14     2.18     -2.590   FeI     26.0     86.0 
6270.23     2.86     -2.603   FeI     26.0     52.8 
6290.98     4.73     -0.630   FeI     26.0     67.5 
6297.80     2.22     -2.804   FeI     26.0     73.5 
6303.46     4.32     -2.522   FeI     26.0      6.0 
6315.81     4.08     -1.682   FeI     26.0     40.5 
6322.69     2.59     -2.401   FeI     26.0     76.0 
6335.34     2.20     -2.373   FeI     26.0     97.2 
6336.83     3.69     -0.916   FeI     26.0    107.0 
6358.68     0.86     -3.917   FeI     26.0     84.4 
6380.75     4.19     -1.361   FeI     26.0     52.2 
6385.72     4.73     -1.863   FeI     26.0     10.7 
6392.54     2.28     -3.963   FeI     26.0     17.8 
6430.85     2.18     -2.165   FeI     26.0    112.1 
6481.88     2.28     -2.954   FeI     26.0     64.1 
6498.94     0.96     -4.642   FeI     26.0     46.1 
6581.21     1.49     -4.723   FeI     26.0     19.0 
6593.88     2.43     -2.413   FeI     26.0     84.6 
6608.03     2.28     -3.988   FeI     26.0     17.4 
6609.12     2.56     -2.659   FeI     26.0     65.7 
6625.02     1.01     -5.300   FeI     26.0     16.1 
6627.55     4.55     -1.508   FeI     26.0     28.2 
6646.94     2.61     -3.934   FeI     26.0     10.3 
6653.86     4.15     -2.438   FeI     26.0     10.4 
6699.15     4.59     -2.137   FeI     26.0      8.2 
6703.57     2.76     -3.045   FeI     26.0     36.9 
6705.11     4.61     -1.095   FeI     26.0     46.5 
6710.32     1.49     -4.829   FeI     26.0     15.9 
6713.05     4.61     -1.547   FeI     26.0     24.3 
6713.20     4.14     -2.468   FeI     26.0     10.0 
6713.74     4.79     -1.458   FeI     26.0     21.2 
6725.36     4.10     -2.214   FeI     26.0     17.6 
6726.67     4.61     -1.084   FeI     26.0     47.2 
6732.07     4.58     -2.175   FeI     26.0      7.7 
6733.15     4.64     -1.462   FeI     26.0     26.7 
6739.52     1.56     -4.918   FeI     26.0     11.7 
6745.11     4.58     -2.121   FeI     26.0      8.6 
6745.97     4.08     -2.684   FeI     26.0      7.2 
6750.16     2.42     -2.640   FeI     26.0     74.0 
6752.71     4.64     -1.269   FeI     26.0     35.8 
6786.86     4.19     -1.917   FeI     26.0     25.5 
6793.26     4.58     -1.932   FeI     26.0     12.7 
6806.85     2.73     -3.126   FeI     26.0     34.7 
6810.27     4.61     -1.033   FeI     26.0     50.2 
6820.37     4.64     -1.170   FeI     26.0     41.1 
6828.60     3.57     -1.901   FeI     26.0     55.5 
6833.23     4.64     -2.006   FeI     26.0      9.8 
6837.01     4.59     -1.763   FeI     26.0     17.3 
6839.84     2.56     -3.398   FeI     26.0     29.9 
6842.69     4.64     -1.205   FeI     26.0     39.3 
6843.66     4.55     -0.909   FeI     26.0     60.7 
6855.72     4.61     -1.705   FeI     26.0     18.6 
6857.25     4.08     -2.102   FeI     26.0     22.4 
6858.15     4.61     -1.010   FeI     26.0     51.6 
6861.94     2.42     -3.815   FeI     26.0     18.9 
6862.50     4.56     -1.469   FeI     26.0     29.9 
6864.32     4.56     -2.260   FeI     26.0      6.8 
4508.28     2.86     -2.503  FeII     26.1     87.3 
4520.22     2.81     -2.663  FeII     26.1     81.9 
4534.17     2.86     -3.290  FeII     26.1     53.7 
4541.52     2.86     -2.858  FeII     26.1     71.5 
4576.34     2.84     -3.037  FeII     26.1     64.9 
4582.84     2.84     -3.165  FeII     26.1     59.7 
4620.51     2.83     -3.319  FeII     26.1     53.9 
4629.34     2.81     -2.362  FeII     26.1     97.9 
4656.98     2.89     -3.753  FeII     26.1     33.8 
4670.17     2.58     -4.085  FeII     26.1     32.0 
4923.93     2.89     -1.648  FeII     26.1    154.3 
5132.67     2.81     -4.075  FeII     26.1     24.6 
5197.57     3.23     -2.384  FeII     26.1     80.1 
5234.63     3.22     -2.326  FeII     26.1     83.5 
5256.94     2.89     -4.085  FeII     26.1     21.7 
5264.81     3.23     -3.167  FeII     26.1     45.6 
5284.11     2.89     -3.209  FeII     26.1     57.6 
5414.07     3.22     -3.637  FeII     26.1     26.9 
5425.25     3.20     -3.306  FeII     26.1     41.1 
5427.81     6.72     -1.558  FeII     26.1      4.4 
5525.12     3.27     -4.058  FeII     26.1     12.4 
5534.85     3.25     -2.868  FeII     26.1     58.1 
5991.38     3.15     -3.603  FeII     26.1     31.2 
6084.11     3.20     -3.834  FeII     26.1     20.9 
6113.32     3.22     -4.166  FeII     26.1     11.3 
6149.25     3.89     -2.785  FeII     26.1     36.2 
6238.39     3.89     -2.592  FeII     26.1     44.4 
6239.94     3.89     -3.506  FeII     26.1     12.2 
6247.56     3.89     -2.416  FeII     26.1     52.2 
6369.46     2.89     -4.187  FeII     26.1     19.1 
6407.29     3.89     -2.960  FeII     26.1     29.4 
6416.93     3.89     -2.688  FeII     26.1     40.5 
6432.69     2.89     -3.630  FeII     26.1     41.0 
6442.97     5.55     -2.461  FeII     26.1      5.1 
6456.39     3.90     -2.179  FeII     26.1     63.0 
6516.09     2.89     -3.340  FeII     26.1     54.2 
